* Measurement data measured by REW V5.20.9
* Format: Comma/Tab/Space delimited data
* Dated: 27.12.2022 18:42:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Measurement: Harman 2018
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
718.344543	59.783	0.0000
723.549988	59.791	0.0000
728.793152	59.799	0.0000
734.074280	59.807	0.0000
739.393677	59.815	0.0000
744.751648	59.822	0.0000
750.148438	59.829	0.0000
755.584351	59.836	0.0000
761.059631	59.842	0.0000
766.574585	59.848	0.0000
772.129517	59.853	0.0000
777.724670	59.858	0.0000
783.360413	59.864	0.0000
789.036987	59.870	0.0000
794.754700	59.875	0.0000
800.513794	59.880	0.0000
806.314636	59.884	0.0000
812.157532	59.888	0.0000
818.042786	59.891	0.0000
823.970642	59.894	0.0000
829.941467	59.898	0.0000
835.955566	59.901	0.0000
842.013245	59.905	0.0000
848.114807	59.909	0.0000
854.260620	59.914	0.0000
860.450928	59.919	0.0000
866.686096	59.924	0.0000
872.966431	59.929	0.0000
879.292297	59.934	0.0000
885.664001	59.939	0.0000
892.081909	59.944	0.0000
898.546326	59.949	0.0000
905.057556	59.954	0.0000
911.615967	59.959	0.0000
918.221924	59.965	0.0000
924.875732	59.971	0.0000
931.577759	59.976	0.0000
938.328369	59.981	0.0000
945.127869	59.986	0.0000
951.976685	59.993	0.0000
958.875122	60.002	0.0000
965.823547	60.012	0.0000
972.822327	60.022	0.0000
979.871826	60.032	0.0000
986.972351	60.042	0.0000
994.124390	60.052	0.0000
1001.328247	60.064	0.0000
1008.584290	60.077	0.0000
1015.892883	60.092	0.0000
1023.254456	60.107	0.0000
1030.669434	60.122	0.0000
1038.138062	60.137	0.0000
1045.660889	60.152	0.0000
1053.238159	60.167	0.0000
1060.870361	60.184	0.0000
1068.557861	60.204	0.0000
1076.301025	60.227	0.0000
1084.100342	60.249	0.0000
1091.956177	60.272	0.0000
1099.868896	60.293	0.0000
1107.838989	60.316	0.0000
