* Measurement data measured by REW V5.20.9
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Dated: 3.10.2022 17:55:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Measurement: TR-X00 PH Left AVG Tiukka
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)
263.305684	82.809
263.671895	82.806
264.038106	82.802
264.404317	82.799
264.770528	82.795
265.136739	82.791
265.502950	82.787
265.869161	82.783
266.235372	82.779
266.601583	82.774
266.967794	82.770
267.334004	82.765
267.700215	82.761
268.066426	82.756
268.432637	82.752
268.798848	82.747
269.165059	82.743
269.531270	82.739
269.897481	82.734
270.263692	82.730
270.629903	82.726
270.996114	82.721
271.362325	82.717
271.728536	82.713
272.094747	82.709
272.460958	82.705
272.827169	82.701
273.193380	82.697
273.559591	82.693
273.925802	82.689
274.292013	82.685
274.658224	82.681
275.024435	82.676
275.390646	82.672
275.756857	82.668
276.123068	82.664
276.489279	82.659
276.855490	82.655
277.221701	82.651
277.587912	82.647
277.954123	82.643
278.320334	82.640
278.686544	82.636
279.052755	82.633
279.418966	82.630
279.785177	82.627
280.151388	82.624
280.517599	82.621
280.883810	82.619
281.250021	82.616
281.616232	82.612
281.982443	82.609
282.348654	82.606
282.714865	82.603
283.081076	82.599
283.447287	82.596
283.813498	82.593
284.179709	82.589
284.545920	82.586
284.912131	82.582
285.278342	82.579
285.644553	82.575
286.010764	82.572
286.376975	82.568
286.743186	82.564
287.109397	82.560
287.475608	82.557
287.841819	82.553
288.208030	82.549
288.574241	82.545
288.940452	82.541
289.306663	82.537
289.672873	82.534
290.039084	82.530
290.405295	82.527
290.771506	82.524
291.137717	82.520
291.503928	82.517
291.870139	82.514
292.236350	82.511
292.602561	82.508
292.968772	82.505
293.334983	82.502
293.701194	82.499
294.067405	82.497
294.433616	82.494
294.799827	82.491
295.166038	82.489
295.532249	82.486
295.898460	82.483
296.264671	82.481
296.630882	82.478
296.997093	82.475
297.363304	82.473
297.729515	82.470
298.095726	82.467
298.461937	82.465
298.828148	82.462
299.194359	82.459
299.560570	82.457
299.926781	82.454
300.292992	82.451
300.659203	82.448
301.025413	82.446
301.391624	82.443
301.757835	82.440
302.124046	82.437
302.490257	82.434
302.856468	82.432
303.222679	82.429
303.588890	82.426
303.955101	82.424
304.321312	82.422
304.687523	82.419
305.053734	82.417
305.419945	82.415
305.786156	82.413
306.152367	82.411
306.518578	82.409
306.884789	82.407
307.251000	82.405
307.617211	82.404
307.983422	82.402
308.349633	82.400
308.715844	82.398
309.082055	82.396
309.448266	82.394
309.814477	82.392
310.180688	82.389
310.546899	82.387
310.913110	82.385
311.279321	82.382
311.645532	82.380
312.011743	82.377
312.377953	82.375
312.744164	82.372
313.110375	82.370
313.476586	82.367
313.842797	82.364
314.209008	82.362
314.575219	82.359
314.941430	82.357
315.307641	82.354
315.673852	82.352
316.040063	82.350
316.406274	82.348
316.772485	82.345
317.138696	82.343
317.504907	82.341
317.871118	82.339
318.237329	82.338
318.603540	82.336
318.969751	82.334
319.335962	82.332
319.702173	82.330
320.068384	82.328
320.434595	82.326
320.800806	82.324
321.167017	82.322
321.533228	82.321
321.899439	82.319
322.265650	82.317
322.631861	82.315
322.998072	82.314
323.364282	82.312
323.730493	82.310
324.096704	82.308
324.462915	82.306
324.829126	82.305
325.195337	82.303
325.561548	82.301
325.927759	82.299
326.293970	82.297
326.660181	82.295
327.026392	82.293
327.392603	82.291
327.758814	82.290
328.125025	82.288
328.491236	82.287
328.857447	82.286
329.223658	82.285
329.589869	82.284
329.956080	82.283
330.322291	82.282
330.688502	82.281
331.054713	82.280
331.420924	82.279
331.787135	82.279
332.153346	82.278
332.519557	82.277
332.885768	82.277
333.251979	82.276
333.618190	82.276
333.984401	82.275
334.350612	82.275
334.716822	82.275
335.083033	82.275
335.449244	82.275
335.815455	82.275
336.181666	82.275
336.547877	82.275
336.914088	82.276
337.280299	82.276
337.646510	82.276
338.012721	82.277
338.378932	82.277
338.745143	82.278
339.111354	82.279
339.477565	82.279
339.843776	82.280
340.209987	82.280
340.576198	82.281
340.942409	82.281
341.308620	82.282
341.674831	82.283
342.041042	82.283
342.407253	82.284
342.773464	82.285
343.139675	82.285
343.505886	82.286
343.872097	82.287
344.238308	82.288
344.604519	82.289
344.970730	82.290
345.336941	82.292
345.703151	82.293
346.069362	82.294
346.435573	82.296
346.801784	82.297
347.167995	82.298
347.534206	82.300
347.900417	82.301
348.266628	82.303
348.632839	82.305
348.999050	82.306
349.365261	82.308
349.731472	82.309
350.097683	82.311
350.463894	82.313
350.830105	82.315
351.196316	82.316
351.562527	82.318
351.928738	82.320
352.294949	82.322
352.661160	82.324
353.027371	82.326
353.393582	82.328
353.759793	82.331
354.126004	82.333
354.492215	82.335
354.858426	82.337
355.224637	82.339
355.590848	82.341
355.957059	82.344
356.323270	82.346
356.689481	82.348
357.055691	82.350
357.421902	82.352
357.788113	82.354
358.154324	82.356
358.520535	82.359
358.886746	82.361
359.252957	82.363
359.619168	82.365
359.985379	82.367
360.351590	82.370
360.717801	82.372
361.084012	82.374
361.450223	82.376
361.816434	82.379
362.182645	82.381
362.548856	82.383
362.915067	82.386
363.281278	82.388
363.647489	82.390
364.013700	82.393
364.379911	82.395
364.746122	82.398
365.112333	82.400
365.478544	82.402
365.844755	82.405
366.210966	82.407
366.577177	82.409
366.943388	82.411
