* Measurement data measured by REW V5.20.9
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Dated: 3.10.2022 18:01:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Measurement: TR-X00 PH Right AVG Tiukka
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)
172.485364	85.183
172.851575	85.176
173.217786	85.169
173.583997	85.162
173.950208	85.156
174.316419	85.150
174.682630	85.145
175.048841	85.139
175.415052	85.134
175.781263	85.129
176.147474	85.123
176.513685	85.117
176.879896	85.112
177.246107	85.106
177.612318	85.101
177.978528	85.095
178.344739	85.090
178.710950	85.084
179.077161	85.079
179.443372	85.074
179.809583	85.068
180.175794	85.063
180.542005	85.058
180.908216	85.053
181.274427	85.047
181.640638	85.042
182.006849	85.036
182.373060	85.029
182.739271	85.023
183.105482	85.017
183.471693	85.010
183.837904	85.003
184.204115	84.996
184.570326	84.990
184.936537	84.983
185.302748	84.976
185.668959	84.970
186.035170	84.965
186.401381	84.959
186.767592	84.954
187.133803	84.949
187.500014	84.944
187.866225	84.939
188.232436	84.935
188.598647	84.930
188.964857	84.925
189.331068	84.920
189.697279	84.915
190.063490	84.910
190.429701	84.904
190.795912	84.899
191.162123	84.893
191.528334	84.886
191.894545	84.880
192.260756	84.874
192.626967	84.868
192.993178	84.861
193.359389	84.855
193.725600	84.849
194.091811	84.843
194.458022	84.838
194.824233	84.832
195.190444	84.826
195.556655	84.820
195.922866	84.814
196.289077	84.808
196.655288	84.802
197.021499	84.796
197.387710	84.790
197.753921	84.784
198.120132	84.778
198.486343	84.771
198.852554	84.765
199.218765	84.758
199.584976	84.752
199.951187	84.745
200.317397	84.738
200.683608	84.731
201.049819	84.724
201.416030	84.717
201.782241	84.710
202.148452	84.704
202.514663	84.697
202.880874	84.691
203.247085	84.684
203.613296	84.678
203.979507	84.671
204.345718	84.665
